Кратчайший путь: 1 7 5 6 2 8 3 4 9 10 1 
Его длина 30,48
Всего гамильтоновых путей: 31224
1 2 3 4 6 8 5 9 7 10 1 | 250,37
1 2 3 4 6 8 5 9 10 7 1 | 229,41
1 2 3 4 6 8 5 10 7 9 1 | 175,62
1 2 3 4 6 8 5 10 9 7 1 | 203,64
1 2 3 4 6 8 7 5 9 10 1 | 214,44
1 2 3 4 6 8 7 5 10 9 1 | 139,69
1 2 3 4 6 8 7 9 5 10 1 | 214,44
1 2 3 4 6 8 7 9 10 5 1 | 187,56
1 2 3 4 6 8 7 10 5 9 1 | 165,46
1 2 3 4 6 8 7 10 9 5 1 | 213,33
1 2 3 4 6 8 9 5 7 10 1 | 214,44
1 2 3 4 6 8 9 5 10 7 1 | 193,48
1 2 3 4 6 8 9 7 5 10 1 | 188,67
1 2 3 4 6 8 9 7 10 5 1 | 187,56
1 2 3 4 6 8 9 10 5 7 1 | 167,71
1 2 3 4 6 8 9 10 7 5 1 | 187,56
1 2 3 4 6 8 10 5 7 9 1 | 139,69
1 2 3 4 6 8 10 5 9 7 1 | 193,48
1 2 3 4 6 8 10 7 5 9 1 | 165,46
1 2 3 4 6 8 10 7 9 5 1 | 213,33
1 2 3 4 6 8 10 9 5 7 1 | 193,48
1 2 3 4 6 8 10 9 7 5 1 | 187,56
1 2 3 4 6 9 5 7 8 10 1 | 262,49
1 2 3 4 6 9 5 7 10 8 1 | 213,51
1 2 3 4 6 9 5 8 7 10 1 | 298,42
1 2 3 4 6 9 5 8 10 7 1 | 277,46
1 2 3 4 6 9 5 10 7 8 1 | 213,51
1 2 3 4 6 9 5 10 8 7 1 | 241,53
1 2 3 4 6 9 7 5 8 10 1 | 272,65
1 2 3 4 6 9 7 5 10 8 1 | 187,74
1 2 3 4 6 9 7 8 5 10 1 | 272,65
1 2 3 4 6 9 7 8 10 5 1 | 235,61
1 2 3 4 6 9 7 10 5 8 1 | 223,67
1 2 3 4 6 9 7 10 8 5 1 | 271,54
1 2 3 4 6 9 8 5 7 10 1 | 272,65
1 2 3 4 6 9 8 5 10 7 1 | 251,69
1 2 3 4 6 9 8 7 5 10 1 | 236,72
1 2 3 4 6 9 8 7 10 5 1 | 235,61
1 2 3 4 6 9 8 10 5 7 1 | 215,76
1 2 3 4 6 9 8 10 7 5 1 | 235,61
1 2 3 4 6 9 10 5 7 8 1 | 187,74
1 2 3 4 6 9 10 5 8 7 1 | 251,69
1 2 3 4 6 9 10 7 5 8 1 | 223,67
1 2 3 4 6 9 10 7 8 5 1 | 271,54
1 2 3 4 6 9 10 8 5 7 1 | 251,69
1 2 3 4 6 9 10 8 7 5 1 | 235,61
1 2 3 4 6 10 5 7 8 9 1 | 139,69
1 2 3 4 6 10 5 7 9 8 1 | 139,69
1 2 3 4 6 10 5 8 7 9 1 | 175,62
1 2 3 4 6 10 5 8 9 7 1 | 203,64
1 2 3 4 6 10 5 9 7 8 1 | 165,46
1 2 3 4 6 10 5 9 8 7 1 | 193,48
1 2 3 4 6 10 7 5 8 9 1 | 175,62
1 2 3 4 6 10 7 5 9 8 1 | 165,46
1 2 3 4 6 10 7 8 5 9 1 | 201,39
1 2 3 4 6 10 7 8 9 5 1 | 213,33
1 2 3 4 6 10 7 9 5 8 1 | 201,39
1 2 3 4 6 10 7 9 8 5 1 | 223,49
1 2 3 4 6 10 8 5 7 9 1 | 175,62
1 2 3 4 6 10 8 5 9 7 1 | 229,41
1 2 3 4 6 10 8 7 5 9 1 | 165,46
1 2 3 4 6 10 8 7 9 5 1 | 213,33
1 2 3 4 6 10 8 9 5 7 1 | 193,48
1 2 3 4 6 10 8 9 7 5 1 | 187,56
1 2 3 4 6 10 9 5 7 8 1 | 165,46
1 2 3 4 6 10 9 5 8 7 1 | 229,41
1 2 3 4 6 10 9 7 5 8 1 | 175,62
1 2 3 4 6 10 9 7 8 5 1 | 223,49
1 2 3 4 6 10 9 8 5 7 1 | 203,64
1 2 3 4 6 10 9 8 7 5 1 | 187,56
1 2 3 4 7 5 6 8 9 10 1 | 145,17
1 2 3 4 7 5 6 8 10 9 1 | 96,19
1 2 3 4 7 5 6 9 8 10 1 | 193,22
1 2 3 4 7 5 6 9 10 8 1 | 144,24
1 2 3 4 7 5 6 10 8 9 1 | 96,19
1 2 3 4 7 5 6 10 9 8 1 | 96,19
1 2 3 4 7 5 8 6 9 10 1 | 229,15
1 2 3 4 7 5 8 6 10 9 1 | 132,12
1 2 3 4 7 5 8 9 6 10 1 | 229,15
1 2 3 4 7 5 8 10 6 9 1 | 180,17
1 2 3 4 7 5 9 6 8 10 1 | 218,99
1 2 3 4 7 5 9 6 10 8 1 | 170,01
1 2 3 4 7 5 9 8 6 10 1 | 170,94
1 2 3 4 7 5 9 10 6 8 1 | 121,96
1 2 3 4 7 5 10 6 8 9 1 | 96,19
1 2 3 4 7 5 10 6 9 8 1 | 144,24
1 2 3 4 7 5 10 8 6 9 1 | 144,24
1 2 3 4 7 5 10 9 6 8 1 | 144,24
1 2 3 4 7 6 5 8 9 10 1 | 181,1
1 2 3 4 7 6 5 8 10 9 1 | 132,12
1 2 3 4 7 6 5 9 8 10 1 | 170,94
1 2 3 4 7 6 5 9 10 8 1 | 121,96
1 2 3 4 7 6 5 10 8 9 1 | 96,19
1 2 3 4 7 6 5 10 9 8 1 | 96,19
1 2 3 4 7 6 8 5 9 10 1 | 206,87
1 2 3 4 7 6 8 5 10 9 1 | 132,12
1 2 3 4 7 6 8 9 5 10 1 | 170,94
1 2 3 4 7 6 8 9 10 5 1 | 144,06
1 2 3 4 7 6 8 10 5 9 1 | 121,96
1 2 3 4 7 6 8 10 9 5 1 | 169,83
1 2 3 4 7 6 9 5 8 10 1 | 254,92
1 2 3 4 7 6 9 5 10 8 1 | 170,01
1 2 3 4 7 6 9 8 5 10 1 | 229,15
1 2 3 4 7 6 9 8 10 5 1 | 192,11
1 2 3 4 7 6 9 10 5 8 1 | 180,17
1 2 3 4 7 6 9 10 8 5 1 | 228,04
1 2 3 4 7 6 10 5 8 9 1 | 132,12
1 2 3 4 7 6 10 5 9 8 1 | 121,96
1 2 3 4 7 6 10 8 5 9 1 | 157,89
1 2 3 4 7 6 10 8 9 5 1 | 169,83
1 2 3 4 7 6 10 9 5 8 1 | 157,89
1 2 3 4 7 6 10 9 8 5 1 | 179,99
1 2 3 4 7 8 5 6 9 10 1 | 229,15
1 2 3 4 7 8 5 6 10 9 1 | 132,12
1 2 3 4 7 8 5 9 6 10 1 | 254,92
1 2 3 4 7 8 5 10 6 9 1 | 180,17
1 2 3 4 7 8 6 5 9 10 1 | 170,94
1 2 3 4 7 8 6 5 10 9 1 | 96,19
1 2 3 4 7 8 6 9 5 10 1 | 218,99
1 2 3 4 7 8 6 9 10 5 1 | 192,11
1 2 3 4 7 8 6 10 5 9 1 | 121,96
1 2 3 4 7 8 6 10 9 5 1 | 169,83
1 2 3 4 7 8 9 5 6 10 1 | 170,94
1 2 3 4 7 8 9 6 5 10 1 | 193,22
1 2 3 4 7 8 9 6 10 5 1 | 192,11
1 2 3 4 7 8 9 10 6 5 1 | 144,06
1 2 3 4 7 8 10 5 6 9 1 | 144,24
1 2 3 4 7 8 10 6 5 9 1 | 121,96
1 2 3 4 7 8 10 6 9 5 1 | 217,88
1 2 3 4 7 8 10 9 6 5 1 | 192,11
1 2 3 4 7 9 5 6 8 10 1 | 170,94
1 2 3 4 7 9 5 6 10 8 1 | 121,96
1 2 3 4 7 9 5 8 6 10 1 | 206,87
1 2 3 4 7 9 5 10 6 8 1 | 121,96
1 2 3 4 7 9 6 5 8 10 1 | 229,15
1 2 3 4 7 9 6 5 10 8 1 | 144,24
1 2 3 4 7 9 6 8 5 10 1 | 229,15
1 2 3 4 7 9 6 8 10 5 1 | 192,11
1 2 3 4 7 9 6 10 5 8 1 | 180,17
1 2 3 4 7 9 6 10 8 5 1 | 228,04
1 2 3 4 7 9 8 5 6 10 1 | 181,1
1 2 3 4 7 9 8 6 5 10 1 | 145,17
1 2 3 4 7 9 8 6 10 5 1 | 144,06
1 2 3 4 7 9 8 10 6 5 1 | 144,06
1 2 3 4 7 9 10 5 6 8 1 | 96,19
1 2 3 4 7 9 10 6 5 8 1 | 132,12
1 2 3 4 7 9 10 6 8 5 1 | 179,99
1 2 3 4 7 9 10 8 6 5 1 | 144,06
1 2 3 4 7 10 5 6 8 9 1 | 96,19
1 2 3 4 7 10 5 6 9 8 1 | 144,24
1 2 3 4 7 10 5 8 6 9 1 | 180,17
1 2 3 4 7 10 5 9 6 8 1 | 170,01
1 2 3 4 7 10 6 5 8 9 1 | 132,12
1 2 3 4 7 10 6 5 9 8 1 | 121,96
1 2 3 4 7 10 6 8 5 9 1 | 157,89
1 2 3 4 7 10 6 8 9 5 1 | 169,83
1 2 3 4 7 10 6 9 5 8 1 | 205,94
1 2 3 4 7 10 6 9 8 5 1 | 228,04
1 2 3 4 7 10 8 5 6 9 1 | 180,17
1 2 3 4 7 10 8 6 5 9 1 | 121,96
1 2 3 4 7 10 8 6 9 5 1 | 217,88
1 2 3 4 7 10 8 9 6 5 1 | 192,11
1 2 3 4 7 10 9 5 6 8 1 | 121,96
1 2 3 4 7 10 9 6 5 8 1 | 180,17
1 2 3 4 7 10 9 6 8 5 1 | 228,04
1 2 3 4 7 10 9 8 6 5 1 | 144,06
1 2 3 4 10 5 6 7 8 9 1 | 113,87
1 2 3 4 10 5 6 7 9 8 1 | 113,87
1 2 3 4 10 5 6 8 7 9 1 | 113,87
1 2 3 4 10 5 6 8 9 7 1 | 141,89
1 2 3 4 10 5 6 9 7 8 1 | 161,92
1 2 3 4 10 5 6 9 8 7 1 | 189,94
1 2 3 4 10 5 7 6 8 9 1 | 113,87
1 2 3 4 10 5 7 6 9 8 1 | 161,92
1 2 3 4 10 5 7 8 6 9 1 | 161,92
1 2 3 4 10 5 7 9 6 8 1 | 161,92
1 2 3 4 10 5 8 6 7 9 1 | 149,8
1 2 3 4 10 5 8 6 9 7 1 | 225,87
1 2 3 4 10 5 8 7 6 9 1 | 197,85
1 2 3 4 10 5 8 9 6 7 1 | 225,87
1 2 3 4 10 5 9 6 7 8 1 | 187,69
1 2 3 4 10 5 9 6 8 7 1 | 215,71
1 2 3 4 10 5 9 7 6 8 1 | 139,64
1 2 3 4 10 5 9 8 6 7 1 | 167,66
1 2 3 4 10 6 5 7 8 9 1 | 113,87
1 2 3 4 10 6 5 7 9 8 1 | 113,87
1 2 3 4 10 6 5 8 7 9 1 | 149,8
1 2 3 4 10 6 5 8 9 7 1 | 177,82
1 2 3 4 10 6 5 9 7 8 1 | 139,64
1 2 3 4 10 6 5 9 8 7 1 | 167,66
1 2 3 4 10 6 7 5 8 9 1 | 149,8
1 2 3 4 10 6 7 5 9 8 1 | 139,64
1 2 3 4 10 6 7 8 5 9 1 | 175,57
1 2 3 4 10 6 7 8 9 5 1 | 187,51
1 2 3 4 10 6 7 9 5 8 1 | 175,57
1 2 3 4 10 6 7 9 8 5 1 | 197,67
1 2 3 4 10 6 8 5 7 9 1 | 149,8
1 2 3 4 10 6 8 5 9 7 1 | 203,59
1 2 3 4 10 6 8 7 5 9 1 | 139,64
1 2 3 4 10 6 8 7 9 5 1 | 187,51
1 2 3 4 10 6 8 9 5 7 1 | 167,66
1 2 3 4 10 6 8 9 7 5 1 | 161,74
1 2 3 4 10 6 9 5 7 8 1 | 187,69
1 2 3 4 10 6 9 5 8 7 1 | 251,64
1 2 3 4 10 6 9 7 5 8 1 | 197,85
1 2 3 4 10 6 9 7 8 5 1 | 245,72
1 2 3 4 10 6 9 8 5 7 1 | 225,87
1 2 3 4 10 6 9 8 7 5 1 | 209,79
1 2 3 4 10 7 5 6 8 9 1 | 113,87
1 2 3 4 10 7 5 6 9 8 1 | 161,92
1 2 3 4 10 7 5 8 6 9 1 | 197,85
1 2 3 4 10 7 5 9 6 8 1 | 187,69
1 2 3 4 10 7 6 5 8 9 1 | 149,8
1 2 3 4 10 7 6 5 9 8 1 | 139,64
1 2 3 4 10 7 6 8 5 9 1 | 175,57
1 2 3 4 10 7 6 8 9 5 1 | 187,51
1 2 3 4 10 7 6 9 5 8 1 | 223,62
1 2 3 4 10 7 6 9 8 5 1 | 245,72
1 2 3 4 10 7 8 5 6 9 1 | 197,85
1 2 3 4 10 7 8 6 5 9 1 | 139,64
1 2 3 4 10 7 8 6 9 5 1 | 235,56
1 2 3 4 10 7 8 9 6 5 1 | 209,79
1 2 3 4 10 7 9 5 6 8 1 | 139,64
1 2 3 4 10 7 9 6 5 8 1 | 197,85
1 2 3 4 10 7 9 6 8 5 1 | 245,72
1 2 3 4 10 7 9 8 6 5 1 | 161,74
1 2 3 4 10 8 5 6 7 9 1 | 149,8
1 2 3 4 10 8 5 6 9 7 1 | 225,87
1 2 3 4 10 8 5 7 6 9 1 | 197,85
1 2 3 4 10 8 5 9 6 7 1 | 251,64
1 2 3 4 10 8 6 5 7 9 1 | 113,87
1 2 3 4 10 8 6 5 9 7 1 | 167,66
1 2 3 4 10 8 6 7 5 9 1 | 139,64
1 2 3 4 10 8 6 7 9 5 1 | 187,51
1 2 3 4 10 8 6 9 5 7 1 | 215,71
1 2 3 4 10 8 6 9 7 5 1 | 209,79
1 2 3 4 10 8 7 5 6 9 1 | 161,92
1 2 3 4 10 8 7 6 5 9 1 | 139,64
1 2 3 4 10 8 7 6 9 5 1 | 235,56
1 2 3 4 10 8 7 9 6 5 1 | 209,79
1 2 3 4 10 8 9 5 6 7 1 | 167,66
1 2 3 4 10 8 9 6 5 7 1 | 189,94
1 2 3 4 10 8 9 6 7 5 1 | 209,79
1 2 3 4 10 8 9 7 6 5 1 | 161,74
1 2 3 4 10 9 5 6 7 8 1 | 139,64
1 2 3 4 10 9 5 6 8 7 1 | 167,66
1 2 3 4 10 9 5 7 6 8 1 | 139,64
1 2 3 4 10 9 5 8 6 7 1 | 203,59
1 2 3 4 10 9 6 5 7 8 1 | 161,92
1 2 3 4 10 9 6 5 8 7 1 | 225,87
1 2 3 4 10 9 6 7 5 8 1 | 197,85
1 2 3 4 10 9 6 7 8 5 1 | 245,72
1 2 3 4 10 9 6 8 5 7 1 | 225,87
1 2 3 4 10 9 6 8 7 5 1 | 209,79
1 2 3 4 10 9 7 5 6 8 1 | 113,87
1 2 3 4 10 9 7 6 5 8 1 | 149,8
1 2 3 4 10 9 7 6 8 5 1 | 197,67
1 2 3 4 10 9 7 8 6 5 1 | 161,74
1 2 3 4 10 9 8 5 6 7 1 | 177,82
1 2 3 4 10 9 8 6 5 7 1 | 141,89
1 2 3 4 10 9 8 6 7 5 1 | 161,74
1 2 3 4 10 9 8 7 6 5 1 | 161,74
1 2 3 5 4 6 7 8 9 10 1 | 188,67
1 2 3 5 4 6 7 8 10 9 1 | 139,69
1 2 3 5 4 6 7 9 8 10 1 | 188,67
1 2 3 5 4 6 7 9 10 8 1 | 139,69
1 2 3 5 4 6 7 10 8 9 1 | 139,69
1 2 3 5 4 6 7 10 9 8 1 | 139,69
1 2 3 5 4 6 8 7 9 10 1 | 188,67
1 2 3 5 4 6 8 7 10 9 1 | 139,69
1 2 3 5 4 6 8 9 7 10 1 | 188,67
1 2 3 5 4 6 8 9 10 7 1 | 167,71
1 2 3 5 4 6 8 10 7 9 1 | 139,69
1 2 3 5 4 6 8 10 9 7 1 | 167,71
1 2 3 5 4 6 9 7 8 10 1 | 236,72
1 2 3 5 4 6 9 7 10 8 1 | 187,74
1 2 3 5 4 6 9 8 7 10 1 | 236,72
1 2 3 5 4 6 9 8 10 7 1 | 215,76
1 2 3 5 4 6 9 10 7 8 1 | 187,74
1 2 3 5 4 6 9 10 8 7 1 | 215,76
1 2 3 5 4 6 10 7 8 9 1 | 139,69
1 2 3 5 4 6 10 7 9 8 1 | 139,69
1 2 3 5 4 6 10 8 7 9 1 | 139,69
1 2 3 5 4 6 10 8 9 7 1 | 167,71
1 2 3 5 4 6 10 9 7 8 1 | 139,69
1 2 3 5 4 6 10 9 8 7 1 | 167,71
1 2 3 5 4 7 6 8 9 10 1 | 145,17
1 2 3 5 4 7 6 8 10 9 1 | 96,19
1 2 3 5 4 7 6 9 8 10 1 | 193,22
1 2 3 5 4 7 6 9 10 8 1 | 144,24
1 2 3 5 4 7 6 10 8 9 1 | 96,19
1 2 3 5 4 7 6 10 9 8 1 | 96,19
1 2 3 5 4 7 8 6 9 10 1 | 193,22
1 2 3 5 4 7 8 6 10 9 1 | 96,19
1 2 3 5 4 7 8 9 6 10 1 | 193,22
1 2 3 5 4 7 8 10 6 9 1 | 144,24
1 2 3 5 4 7 9 6 8 10 1 | 193,22
1 2 3 5 4 7 9 6 10 8 1 | 144,24
1 2 3 5 4 7 9 8 6 10 1 | 145,17
1 2 3 5 4 7 9 10 6 8 1 | 96,19
1 2 3 5 4 7 10 6 8 9 1 | 96,19
1 2 3 5 4 7 10 6 9 8 1 | 144,24
1 2 3 5 4 7 10 8 6 9 1 | 144,24
1 2 3 5 4 7 10 9 6 8 1 | 144,24
1 2 3 5 4 10 6 7 8 9 1 | 113,87
1 2 3 5 4 10 6 7 9 8 1 | 113,87
1 2 3 5 4 10 6 8 7 9 1 | 113,87
1 2 3 5 4 10 6 8 9 7 1 | 141,89
1 2 3 5 4 10 6 9 7 8 1 | 161,92
1 2 3 5 4 10 6 9 8 7 1 | 189,94
1 2 3 5 4 10 7 6 8 9 1 | 113,87
1 2 3 5 4 10 7 6 9 8 1 | 161,92
1 2 3 5 4 10 7 8 6 9 1 | 161,92
1 2 3 5 4 10 7 9 6 8 1 | 161,92
1 2 3 5 4 10 8 6 7 9 1 | 113,87
1 2 3 5 4 10 8 6 9 7 1 | 189,94
1 2 3 5 4 10 8 7 6 9 1 | 161,92
1 2 3 5 4 10 8 9 6 7 1 | 189,94
1 2 3 5 4 10 9 6 7 8 1 | 161,92
1 2 3 5 4 10 9 6 8 7 1 | 189,94
1 2 3 5 4 10 9 7 6 8 1 | 113,87
1 2 3 5 4 10 9 8 6 7 1 | 141,89
1 2 3 5 6 4 7 8 9 10 1 | 188,67
1 2 3 5 6 4 7 8 10 9 1 | 139,69
1 2 3 5 6 4 7 9 8 10 1 | 188,67
1 2 3 5 6 4 7 9 10 8 1 | 139,69
1 2 3 5 6 4 7 10 8 9 1 | 139,69
1 2 3 5 6 4 7 10 9 8 1 | 139,69
1 2 3 5 6 4 10 7 8 9 1 | 157,37
